name,price,unit_price,description,availability,regular_price,discounted_price,discount_percent,discount_type,discount_period,category,market,last_updated
БОНБОНИ МЕКИ,86,100 гр = 21.5,EVROPA КАРАМЕЛА,Да,86,,,,,Слатки и бонбони,KAM,2025-04-18
МЕД. СРЦЕ,57,100 гр = 38.0,PIONIR МЕДЕНО,Да,57,,,,,Останато,KAM,2025-04-18
ТЕСТЕНИНИ,45,100 гр = 9.0,REGGIA,Да,45,,,,,Тестенини,KAM,2025-04-18
ЧОКО ЗАЈАК 60 ГР,65,100 гр = 108.3,HAUSWIRTH,Да,65,,,,,Останато,KAM,2025-04-18
КОЛАЧ КУХЕН МА,119,100 гр = 29.8,ALPIKO КОЛАЧ,Да,119,,,,,Останато,KAM,2025-04-18
КОЛАЧ КУХЕН ХЕР,119,100 гр = 29.8,ALPIKO КОЛАЧ,Да,119,,,,,Останато,KAM,2025-04-18
БОНБОН МОРСКИ,189,100 гр = 75.6,ALPIKO МОРСКИ,Да,189,,,,,Слатки и бонбони,KAM,2025-04-18
МАРЦИПАН,64,100 гр = 64.0,ZENTIS МАРЦИПАН,Да,74,,,,,Останато,KAM,2025-04-18
МАСТИКИ ОРБИТ,36,,,Да,36,,,,,Останато,KAM,2025-04-18
МАСТИКИ ОРБИТ,36,,,Да,36,,,,,Останато,KAM,2025-04-18
МАСТИКИ ЕИРВЕИС,36,,,Да,36,,,,,Останато,KAM,2025-04-18
МАСТИКИ ЕИРВЕИС,36,,,Да,36,,,,,Останато,KAM,2025-04-18
РИПЧИЊА СОЛЕНИ,26,100 гр = 17.3,ARMONIA РИПЧИЊА,Да,26,,,,,Останато,KAM,2025-04-18
СОЛЕНКИ ЕТИ,43,100 гр = 35.8,ETI-CRAX СОЛЕНКИ,Да,43,,,,,Останато,KAM,2025-04-18
КРОАСАНИ МИДИ,109,100 гр = 36.3,MIDI КРОАСАНИ,Да,109,,,,,Останато,KAM,2025-04-18
ИНТЕГРАЛНИ,55,100 гр = 13.8,SALUTI ГРИСИНИ,Да,55,,,,,Останато,KAM,2025-04-18
БОНБОНИ СТРОН,52,,,Да,52,,,,,Слатки и бонбони,KAM,2025-04-18
БОНБОНИ,52,,,Да,52,,,,,Слатки и бонбони,KAM,2025-04-18
ТААН АМИА 720 ГР,189,100 гр = 26.3,AMIA ТААН БЕЗ,Да,189,,,,,Останато,KAM,2025-04-18
Л. СОНЧОГЛЕД,15,100 гр = 15.0,SALUTI СОНЧОГЛЕД,Да,15,,,,,Останато,KAM,2025-04-18
ФЛИПС СТОБИ,24,100 гр = 28.2,STOBI ФЛИПС 16%,Да,24,,,,,Останато,KAM,2025-04-18
ТОСТ ВАФЛИ,85,100 гр = 34.0,MILORD ТОСТ,Да,85,,,,,Хлеб и пекарски производи,KAM,2025-04-18
КОРНФЛЕКС,180,100 гр = 36.0,NESTLE,Да,180,,,,,Житарки и мусли,KAM,2025-04-18
СОЛ ГОТВАРСКА,20,,,Да,20,,,,,Останато,KAM,2025-04-18
ФЛИПС СО,20,100 гр = 25.0,SALUTI ФЛИПС СО,Да,20,,,,,Останато,KAM,2025-04-18
СЛАТКО ОД,135,100 гр = 14.7,AMIA СЛАТКО ОД,Да,135,,,,,Слатки и бонбони,KAM,2025-04-18
МЕД ШУМСКИ,319,100 гр = 35.4,AMIA МЕД ШУМСКИ,Да,319,,,,,Останато,KAM,2025-04-18
СОЛЕНКИ,31,100 гр = 15.5,HELLO СОЛЕНКИ,Да,31,,,,,Останато,KAM,2025-04-18
ФЛИПС Ч.КИНГ,11,100 гр = 18.3,CHIPS KING ФЛИПС,Да,11,,,,,Останато,KAM,2025-04-18
ШЕЌЕР ВО ПРАВ,16,100 гр = 8.0,OMA ШЕЌЕР ВО,Да,16,,,,,Останато,KAM,2025-04-18
ЧОКО КИКИРИКИ,47,100 гр = 67.1,ALPIKO КИКИРИКИ,Да,47,,,,,Останато,KAM,2025-04-18
ЧОКОЛА.СУВО,48,100 гр = 68.6,ALPIKO,Да,48,,,,,Слатки и бонбони,KAM,2025-04-18
ТААН АМИА 370 ГР,115,100 гр = 31.1,AMIA ТААН БЕЗ,Да,115,,,,,Останато,KAM,2025-04-18
КРЕМ АЛПИКО ДУО,177,100 гр = 23.6,ALPIKO КРЕМ,Да,177,,,,,Слатки и бонбони,KAM,2025-04-18
КРЕМ ЛЕШНИК,169,100 гр = 22.5,ALPIKO КРЕМ КАКАО,Да,169,,,,,Слатки и бонбони,KAM,2025-04-18
КРЕМ НУТЕЛА,225,100 гр = 56.3,NUTELLA КРЕМ,Да,225,,,,,Слатки и бонбони,KAM,2025-04-18
НИШЕСТЕ КАМКО,17,100 гр = 8.5,KAMKO НИШЕСТЕ,Да,17,,,,,Останато,KAM,2025-04-18
ЦРВЕН ПИПЕР,29,100 гр = 29.0,RAJSKA GRADINA,Да,29,,,,,Овошје и зеленчук,KAM,2025-04-18
ЧОКОЛАДЕН,82,,,Да,82,,,,,Слатки и бонбони,KAM,2025-04-18
БРАШНО ТИП 400,115,,,Да,115,,,,,Останато,KAM,2025-04-18
КИМ 10гр.,4,100 гр = 40.0,КИМ,Да,4,,,,,Останато,KAM,2025-04-18
ПРЕЗЛА КАМКО,13,100 гр = 6.5,KAMKO ПРЕЗЛА,Да,13,,,,,Останато,KAM,2025-04-18
БИБЕР МЕЛЕН 10 Г,5,100 гр = 50.0,FOODY БИБЕР,Да,5,,,,,Останато,KAM,2025-04-18
ЛЕБ БЕЛ СЕЧКАН,29,100 гр = 5.8,DEMETRA ЛЕБ БЕЛ,Да,29,,,,,Хлеб и пекарски производи,KAM,2025-04-18
ПЧЕНКА ПЕЧЕНА,53,100 гр = 26.5,SALUTI ПЧЕНКА,Да,53,,,,,Останато,KAM,2025-04-18
ДУО КЕКС ГРИСОН,105,100 гр = 21.0,GRIESSON БИСКВИТ,Да,105,,,,,Останато,KAM,2025-04-18
КУКИС ГРИЕСОН,65,100 гр = 43.3,HG AMERICAN,Да,65,,,,,Останато,KAM,2025-04-18
СТАПЧИЊА,85,100 гр = 56.7,GRIESSON,Да,85,,,,,Останато,KAM,2025-04-18
КАКАО ИНСТАНТ.,199,100 гр = 49.8,NESQUIK КАКАО,Да,199,,,,,Слатки и бонбони,KAM,2025-04-18
БОНБОНИ,12,100 гр = 41.4,MENTHO PLUS,Да,12,,,,,Слатки и бонбони,KAM,2025-04-18
КОЛАЧ МЕКО,112,100 гр = 37.3,GRIESSON БИСКВИТ,Да,112,,,,,Останато,KAM,2025-04-18
ЧОКОЛИНО 500ГР,225,100 гр = 45.0,LINO ЧОКОЛИНО 7,Да,225,,,,,Слатки и бонбони,KAM,2025-04-18
КАФЕ,185,100 гр = 185.0,FIESTA КАФЕ,Да,185,,,,,Пијалоци,KAM,2025-04-18
ИНДИСКИ ОРЕВ,69,100 гр = 69.0,SALUTI ИНДИСКИ,Да,69,,,,,Останато,KAM,2025-04-18
ПЧЕНКА ЗА ПУК.,36,100 гр = 7.2,KAMKO ПЧЕНКА ЗА,Да,36,,,,,Останато,KAM,2025-04-18
МУСЛИ ТРОПСКО,169,100 гр = 22.5,VITA МУСЛИ,Да,169,,,,,Житарки и мусли,KAM,2025-04-18
СУСАМ ОМА 100ГР,24,100 гр = 24.0,OMA СУСАМ,Да,24,,,,,Останато,KAM,2025-04-18
КИВИ КАНЧЕ,61,,,Да,61,,,,,Останато,KAM,2025-04-18
МОРКОВИ,35,,,Да,35,,,,,Останато,KAM,2025-04-18
БАДЕМ ПЕЧЕН,62,100 гр = 62.0,SALUTI БАДЕМИ,Да,62,,,,,Останато,KAM,2025-04-18
ЛЕШНИК ПЕЧЕН,82,100 гр = 82.0,SALUTI ЛЕШНИЦИ,Да,82,,,,,Останато,KAM,2025-04-18
КРАСТАВИЦА,79,,,Да,99,,,,,Останато,KAM,2025-04-18
ЛЕБ РЖАН 500Г,40,100 гр = 8.0,DEMETRA ЛЕБ,Да,40,,,,,Хлеб и пекарски производи,KAM,2025-04-18
МАНДАРИНА,97,,,Да,97,,,,,Останато,KAM,2025-04-18
ЛИМОН,105,,,Да,105,,,,,Останато,KAM,2025-04-18
ПОРТОКАЛ,69,,,Да,69,,,,,Останато,KAM,2025-04-18
БАНАНА,89,,,Да,89,,,,,Останато,KAM,2025-04-18
КАФЕ ФИЕСТА,285,100 гр = 142.5,FIESTA КАФЕ,Да,285,,,,,Пијалоци,KAM,2025-04-18
ГРАВ КАМКО 500Г,69,100 гр = 13.8,KAMKO ГРАВ БЕЛ,Да,69,,,,,Останато,KAM,2025-04-18
ЛЕБЛЕБИЈА,50,100 гр = 25.0,SALUTI ЛЕБЛЕБИЈА,Да,50,,,,,Хлеб и пекарски производи,KAM,2025-04-18
ОРИЗ КАМКО 1 КГ,96,,,Да,96,,,,,Останато,KAM,2025-04-18
БАДЕМ НЕПЕЧЕН,59,100 гр = 59.0,SALUTI БАДЕМИ,Да,59,,,,,Останато,KAM,2025-04-18
ЛЕБ ГРАХАМ,42,100 гр = 8.4,DEMETRA ЛЕБ,Да,42,,,,,Хлеб и пекарски производи,KAM,2025-04-18
МАСЛИНКА ЦРНА,130,100 гр = 26.0,SUNNY FANTASY,Да,130,,,,,Останато,KAM,2025-04-18
ЈОГУРТ ИМБ 2.8%,63,,,Да,63,,,,,Млеко и млечни производи,KAM,2025-04-18
ЈОГУРТ БАЛАНС 1%,78,,,Да,78,,,,,Млеко и млечни производи,KAM,2025-04-18
СУРУТКА КОЗЈА,28,,,Да,28,,,,,Останато,KAM,2025-04-18
СИРЕЊЕ ЖОЛТО,539,,,Да,539,,,,,Млеко и млечни производи,KAM,2025-04-18
КИСЕЛО МЛЕКО,27,100 гр = 6.8,BELLA FARM МЛЕКО,Да,27,,,,,Млеко и млечни производи,KAM,2025-04-18
КИСЕЛО МЛЕКО,32,100 гр = 10.7,BI MILK КИСЕЛО,Да,32,,,,,Млеко и млечни производи,KAM,2025-04-18
КИС. МЛЕКО,32,,,Да,32,,,,,Млеко и млечни производи,KAM,2025-04-18
МЛЕКО ТР ИМБ,61,,,Да,61,,,,,Млеко и млечни производи,KAM,2025-04-18
МЛЕКО АЛПСКО,75,,,Да,75,,,,,Млеко и млечни производи,KAM,2025-04-18
ПАВЛАКА КИСЕЛА,26,100 гр = 14.4,BELLA FARM,Да,26,,,,,Млеко и млечни производи,KAM,2025-04-18
МЛЕКО,99,,,Да,99,,,,,Млеко и млечни производи,KAM,2025-04-18
КАШКАВАЛ КРАВЈИ,451,,,Да,451,,,,,Млеко и млечни производи,KAM,2025-04-18
КАШКАВАЛ ТОСТ,75,100 гр = 50.0,HAPPY COW ТОПЕНО,Да,75,,,,,Хлеб и пекарски производи,KAM,2025-04-18
БОЈА ЗА ЈАЈЦА,8,,,Да,8,,,,,Останато,KAM,2025-04-18
КРОМИД,42,,,Да,42,,,,,Останато,KAM,2025-04-18
КАШКАВАЛ ОВЧИ,689,,,Да,689,,,,,Млеко и млечни производи,KAM,2025-04-18
ЈОГУРТ ОВОШЕН,62,100 гр = 31.3,ACTIVIA ОБРОК,Да,62,,,,,Млеко и млечни производи,KAM,2025-04-18
МАРГАРИН ДОБРО,47,100 гр = 18.8,DOBRO JUTRO,Да,47,,,,,Останато,KAM,2025-04-18
СИРЕЊЕ ОВЧО,399,,,Да,445,,,,,Млеко и млечни производи,KAM,2025-04-18
ЖЕЛАТИН,109,,,Да,109,,,,,Останато,KAM,2025-04-18
ЖЕЛАТИН БИСЕРЕН,109,,,Да,109,,,,,Останато,KAM,2025-04-18
УРДА МЛЕЧНА,227,,,Да,227,,,,,Останато,KAM,2025-04-18
КАШКАВАЛ КРАВЈИ,546,,,Да,546,,,,,Млеко и млечни производи,KAM,2025-04-18
СИРЕЊЕ КОЗЈО,439,,,Да,439,,,,,Млеко и млечни производи,KAM,2025-04-18
МЛЕКО ЗА КАФЕ,28,100 гр = 28.0,HOCHWALD МЛЕКО,Да,28,,,,,Млеко и млечни производи,KAM,2025-04-18
ПУДИНГ ВАНИЛА,24,,,Да,24,,,,,Останато,KAM,2025-04-18
ПУДИНГ ЧОКО,24,,,Да,24,,,,,Останато,KAM,2025-04-18
ПРЕХРАМБ.ПРОИЗВ.,87,100 гр = 10.9,\OR\IEVI DELIKATES,Да,87,,,,,Останато,KAM,2025-04-18
ДЕСЕРТ ЗОТ,44,100 гр = 44.0,ZOTT- MONTE,Да,44,,,,,Останато,KAM,2025-04-18
ДОМАТ,95,,,Да,109,,,,,Овошје и зеленчук,KAM,2025-04-18
