name,price,unit_price,description,availability,regular_price,discounted_price,discount_percent,discount_type,discount_period,category,market,last_updated
ТОРТИЦИ КАКАО,15,100 гр = 30.0,BIFA ТОРТИЦИ,Да,15,,,,,Слатки и бонбони,KAM,2025-04-18
КОЛАЧ МИНИ,66,100 гр = 36.7,BIFA МИНИ КОЛАЧ,Да,66,,,,,Останато,KAM,2025-04-18
КОРНЕТ МИНИ,16,100 гр = 64.0,BIFA КОРНЕТ МИНИ,Да,16,,,,,Останато,KAM,2025-04-18
ШТРУДЛА МЕШАНО,50,100 гр = 20.0,LULU ШТРУДЛА 30%,Да,50,,,,,Останато,KAM,2025-04-18
ШТРУДЛА ЛУЛУ,50,100 гр = 20.0,LULU ШТРУДЛА 30%,Да,50,,,,,Останато,KAM,2025-04-18
ЧЕПКАЛКИ ЗА ЗАБИ,14,,,Да,14,,,,,Останато,KAM,2025-04-18
САЛАТА ОД,125,100 гр = 62.5,ALPHA GEFSI,Да,125,,,,,Останато,KAM,2025-04-18
ТАРАТУР 200 Г,72,100 гр = 36.0,ALPHA GEFSI,Да,72,,,,,Останато,KAM,2025-04-18
ДОМАЧИЦА,215,100 гр = 48.9,KRAŠ ДОМАЧИЦА,Да,215,,,,,Останато,KAM,2025-04-18
ТЕСТО ЛИСНАТО,60,100 гр = 12.0,GUSTO ТЕСТО,Да,60,,,,,Останато,KAM,2025-04-18
КАШКАВАЛ,83,100 гр = 59.3,PRESIDENT ТОПЕН,Да,83,,,,,Млеко и млечни производи,KAM,2025-04-18
МЛЕЧЕН НАМАЗ,67,100 гр = 47.9,PRESIDENT МЛЕЧЕН,Да,67,,,,,Останато,KAM,2025-04-18
БАР РЕДФРУТ 35ГР,23,100 гр = 65.7,VITALIA ЖИТНА,Да,23,,,,,Останато,KAM,2025-04-18
ЖИТ.ДЕС.ВИТАНОВ,9,100 гр = 45.0,VITANOVA ДЕСЕРТ,Да,9,,,,,Останато,KAM,2025-04-18
ЖИТ.ДЕС.ВИТАНОВ,12,100 гр = 48.0,VITANOVA ДЕСЕРТ,Да,15,,,,,Останато,KAM,2025-04-18
ЖИТЕН ДЕС. СО,18,100 гр = 72.0,VITANOVA ДЕСЕРТ,Да,20,,,,,Останато,KAM,2025-04-18
СИРЕЊЕ КОЗЈО,425,,,Да,425,,,,,Млеко и млечни производи,KAM,2025-04-18
ОРИЗОВИ ГАЛЕТИ,32,100 гр = 32.0,VITA ГАЛЕТИ,Да,32,,,,,Останато,KAM,2025-04-18
ЧИПС ОД ПЧЕНКА,42,100 гр = 84.0,BENLIAN,Да,42,,,,,Останато,KAM,2025-04-18
ОРИЗОВИ ГАЛЕТИ,32,100 гр = 32.0,VITA ГАЛЕТИ,Да,32,,,,,Останато,KAM,2025-04-18
САПУН ЛАЛИН,29,100 гр = 19.3,LALIN САПУН АЛОЕ,Да,29,,,,,Производи за домаќинство,KAM,2025-04-18
НАПОЛИ.ТОГЕТХЕР,39,100 гр = 26.0,MILORD TOGETHER,Да,39,,,,,Останато,KAM,2025-04-18
НАПОЛИТАНКА,13,100 гр = 38.2,MIESZKO,Да,13,,,,,Останато,KAM,2025-04-18
ПУТЕР НЕСОЛЕН,169,100 гр = 84.5,PRESIDENT ПУТЕР,Да,169,,,,,Останато,KAM,2025-04-18
ПУТЕР СОЛЕН,169,100 гр = 84.5,PRESIDENT ПУТЕР,Да,169,,,,,Останато,KAM,2025-04-18
ЦВЕЌЕ БЕГОНИЈА,169,,,Да,169,,,,,Останато,KAM,2025-04-18
ЈАФА БИСКВИТ,82,100 гр = 27.3,LULU ЈАФА БИСКВИТ,Да,82,,,,,Останато,KAM,2025-04-18
АЛВА ТААН 50Г,14,100 гр = 28.0,ROSAL АЛВА ТААН,Да,14,,,,,Останато,KAM,2025-04-18
ИНТЕГР. КЕКС,58,100 гр = 27.6,WELLNESS,Да,58,,,,,Останато,KAM,2025-04-18
ПИЛЕШКИ,149,100 гр = 31.0,ПИЛЕШКИ,Да,149,,,,,Останато,KAM,2025-04-18
ПИЛЕШКИ ФИЛЕТИ,389,100 гр = 43.2,ПИЛЕШКИ ФИЛЕТИ,Да,389,,,,,Останато,KAM,2025-04-18
ЗАСЛАДУВАЧ,115,,,Да,115,,,,,Останато,KAM,2025-04-18
ЛЕБ МЕШАН ‘РЖАН,48,100 гр = 9.6,ЖИТО ЛУКС ЛЕБ,Да,48,,,,,Хлеб и пекарски производи,KAM,2025-04-18
КРЕКЕРИ СОЛЕНИ,67,100 гр = 26.8,CRICH КРЕКЕР,Да,67,,,,,Останато,KAM,2025-04-18
КРЕКЕР,67,100 гр = 26.8,CRICH КРЕКЕР,Да,67,,,,,Останато,KAM,2025-04-18
БИСКВИТ,12,100 гр = 20.0,BIFA БИСКВИТ,Да,12,,,,,Останато,KAM,2025-04-18
СОЛЕНИ,30,100 гр = 20.0,BIFA СОЛЕНИ,Да,30,,,,,Останато,KAM,2025-04-18
ЧАШИ КАРТОНСКИ,59,,,Да,59,,,,,Останато,KAM,2025-04-18
ЦИГАРИ,135,,,Да,135,,,,,Останато,KAM,2025-04-18
ПИЛЕШКИ КРИЛЦА,223,,,Да,223,,,,,Останато,KAM,2025-04-18
ЧОКОЛ.МЛЕЧНО,159,100 гр = 79.5,ALPIKO МЛЕЧНО,Да,159,,,,,Слатки и бонбони,KAM,2025-04-18
ЧОКОЛ.СО ЦЕЛИ,155,100 гр = 77.5,ALPIKO МЛЕЧНО,Да,155,,,,,Слатки и бонбони,KAM,2025-04-18
ЧОКОЛ.ТЕМНО,77,100 гр = 77.0,ALPIKO ТЕМНО,Да,77,,,,,Слатки и бонбони,KAM,2025-04-18
ЧОКОЛ.НОИСЕТ,75,100 гр = 75.0,ALPIKO ЧОКОЛАДО,Да,75,,,,,Слатки и бонбони,KAM,2025-04-18
ЧОК.ЛЕШНИК-ГРОЗ,67,100 гр = 67.0,ALPIKO ЧОКОЛАДО,Да,67,,,,,Останато,KAM,2025-04-18
ЧОКОЛ.ДЕБИ ЛИОН,22,100 гр = 24.4,LION КРЕМ МЛЕЧНА,Да,22,,,,,Слатки и бонбони,KAM,2025-04-18
КАКАО ТАБ.ЗА,30,100 гр = 30.0,SWISSLION КАКАО,Да,30,,,,,Слатки и бонбони,KAM,2025-04-18
БОНБОНИЕРА,325,100 гр = 130.0,STORK-MERCI,Да,325,,,,,Слатки и бонбони,KAM,2025-04-18
СИРУП ОД УРМА,109,100 гр = 24.2,LUX NUTS СИРУП ОД,Да,109,,,,,Останато,KAM,2025-04-18
БИСКВИТ ЧОКО СЛ,109,100 гр = 36.3,SWISSLION,Да,109,,,,,Останато,KAM,2025-04-18
ЧАШИ КАРТОНСКИ,45,,,Да,45,,,,,Останато,KAM,2025-04-18
БИСКВ. СЛ ЧОКО,14,100 гр = 40.0,SWISSLION,Да,14,,,,,Останато,KAM,2025-04-18
ПИЦА КАПРИЧИОЗА,89,100 гр = 24.7,GUSTO ПИЦА,Да,89,,,,,Останато,KAM,2025-04-18
САПУН ДОВЕ 90ГР,45,100 гр = 50.0,DOVE САПУН,Да,45,,,,,Производи за домаќинство,KAM,2025-04-18
КАПУЧИНО,139,100 гр = 69.5,GRANDOS ИНСТАНТ,Да,139,,,,,Останато,KAM,2025-04-18
ВЦ БРЕФ ТОПЧИЊА,73,100 гр = 146.0,BREF ВЦ ТОПЧИЊА,Да,73,,,,,Останато,KAM,2025-04-18
ГРАНУЛИ ЗА,25,100 гр = 41.7,FLEX ГРАНУЛИ ЗА,Да,25,,,,,Останато,KAM,2025-04-18
МАСЛО,299,,,Да,299,,,,,Останато,KAM,2025-04-18
УРМА ПРЕСУВАНА,51,100 гр = 20.4,VITA УРМА,Да,51,,,,,Останато,KAM,2025-04-18
СМОКВИ СУВИ,89,100 гр = 44.5,PAK BRAND СУВИ,Да,89,,,,,Останато,KAM,2025-04-18
КАЈСИЈА СУВА,89,100 гр = 44.5,VITA СУВИ КАЈСИИ,Да,89,,,,,Останато,KAM,2025-04-18
КАФЕ ИНСТАНТ 3,88,,,Да,88,,,,,Пијалоци,KAM,2025-04-18
ИНСТАНТ КАКАО,139,100 гр = 34.8,FIESTA ИНСТАНТ,Да,139,,,,,Слатки и бонбони,KAM,2025-04-18
СОК КЛАСИК,94,,,Да,94,,,,,Пијалоци,KAM,2025-04-18
КЕСИ ЗА,35,,,Да,35,,,,,Останато,KAM,2025-04-18
ОБЛАНДИ,34,100 гр = 17.0,ОБЛАНДИ ПОСНИ,Да,34,,,,,Останато,KAM,2025-04-18
ЛАК ЗА КОСА,127,,,Да,127,,,,,Останато,KAM,2025-04-18
ПЕЛЕНИ ЛАЛИН,340,,,Да,340,,,,,Останато,KAM,2025-04-18
СЈАЈ ЗА МАШИНА,79,,,Да,79,,,,,Останато,KAM,2025-04-18
БЕНЛИАН УАТ,37,100 гр = 74.0,WHAT SNACK СНЕК,Да,37,,,,,Останато,KAM,2025-04-18
СОЛЕНКИ СО,52,100 гр = 20.8,GRISKI СОЛЕНКИ,Да,52,,,,,Останато,KAM,2025-04-18
КОПАН КРАТОК,131,,,Да,131,,,,,Останато,KAM,2025-04-18
САЛФЕТИ,59,,,Да,59,,,,,Останато,KAM,2025-04-18
ДЕТЕР. ФАКС 8КГР,789,,,Да,789,,,,,Останато,KAM,2025-04-18
КРЕМ ЗА,74,,,Да,74,,,,,Слатки и бонбони,KAM,2025-04-18
ЧИПС ПЕКАРСКИ,99,100 гр = 35.4,CHIPS WAY ЧИПС,Да,99,,,,,Хлеб и пекарски производи,KAM,2025-04-18
ПИПЕРКА ЛУТА,11,,,Да,11,,,,,Овошје и зеленчук,KAM,2025-04-18
КАФЕ ЕСПРЕСО ВО,699,100 гр = 69.9,FIESTA КАФЕ ВО,Да,699,,,,,Пијалоци,KAM,2025-04-18
КАФЕ ФИЛТЕР,179,100 гр = 71.6,FIESTA КАФЕ,Да,179,,,,,Пијалоци,KAM,2025-04-18
ПИПЕРКИ,172,,,Да,172,,,,,Овошје и зеленчук,KAM,2025-04-18
ЈАБОЛКО,66,,,Да,66,,,,,Овошје и зеленчук,KAM,2025-04-18
КРУШИ,139,,,Да,139,,,,,Останато,KAM,2025-04-18
ЦИТРОН ЦРВЕН,89,,,Да,89,,,,,Останато,KAM,2025-04-18
АНАНАС,139,,,Да,139,,,,,Останато,KAM,2025-04-18
ЈАБОЛКА ГРЕНИ,59,,,Да,59,,,,,Овошје и зеленчук,KAM,2025-04-18
ЗЕЛКА МЛАДА,75,,,Да,75,,,,,Останато,KAM,2025-04-18
ТИКВИЦА,132,,,Да,132,,,,,Останато,KAM,2025-04-18
ЦВЕКЛО,36,,,Да,36,,,,,Останато,KAM,2025-04-18
ПРАЗ СНОПЧЕ,63,,,Да,63,,,,,Останато,KAM,2025-04-18
КОМПИР МЛАД,54,,,Да,54,,,,,Останато,KAM,2025-04-18
БЕЈБИ КОМПИР ВО,132,,,Да,132,,,,,Останато,KAM,2025-04-18
ЈАБОЛКО,66,,,Да,66,,,,,Овошје и зеленчук,KAM,2025-04-18
ЗЕЛКА,52,,,Да,52,,,,,Останато,KAM,2025-04-18
ЛЕШНИК НЕПЕЧЕН,75,100 гр = 75.0,SALUTI ЛЕШНИК,Да,75,,,,,Останато,KAM,2025-04-18
БОНБОНИ МЕНТОС,35,100 гр = 92.1,MENTOS БОНБОНИ,Да,35,,,,,Слатки и бонбони,KAM,2025-04-18
ПИЦА 4 СИРЕЊА,132,100 гр = 41.3,ALBERTO ПИЦА,Да,132,,,,,Млеко и млечни производи,KAM,2025-04-18
БРУСКЕТИ МАРЕТИ,41,100 гр = 48.2,MARETTI БРУСКЕТИ,Да,41,,,,,Хлеб и пекарски производи,KAM,2025-04-18
КРЕКЕР ТУК 100Г,43,100 гр = 43.0,ТUC КРЕКЕР СОЛЕН,Да,43,,,,,Останато,KAM,2025-04-18
КРЕКЕР ТАК 200ГР,45,100 гр = 22.5,ТАК КРЕКЕР,Да,45,,,,,Останато,KAM,2025-04-18
КРЕКЕР ТУК 100ГР,43,100 гр = 43.0,ТUC КРЕКЕРИ,Да,43,,,,,Останато,KAM,2025-04-18
КРЕКЕР ТУК 100ГР,43,100 гр = 43.0,TUC КРЕКЕРИ,Да,43,,,,,Останато,KAM,2025-04-18
ПИЦА МАРГАРИТА,79,100 гр = 26.3,ALBERTO ПИЦА,Да,79,,,,,Останато,KAM,2025-04-18
ПАСТРМАЈЛИЈА,65,100 гр = 17.1,GUSTO,Да,65,,,,,Останато,KAM,2025-04-18
ТОСТ ЛЕБ БРИОШ,64,100 гр = 18.3,ЖИТО ЛУКС ТОСТ,Да,64,,,,,Хлеб и пекарски производи,KAM,2025-04-18
МАРГАРИН ЛЕ БОН,33,100 гр = 13.2,LE BON МАРГАРИН,Да,33,,,,,Останато,KAM,2025-04-18
КРЕКЕР СОЛЕН,29,100 гр = 14.5,SWISSLION КРЕКЕР,Да,29,,,,,Останато,KAM,2025-04-18
ЈОГУРТ 2.8% 1КГ,53,,,Да,53,,,,,Млеко и млечни производи,KAM,2025-04-18
КРЕКЕР МИКС,99,100 гр = 19.8,CROCO КРЕКЕР,Да,99,,,,,Останато,KAM,2025-04-18
КИСЕЛО МЛЕКО,34,100 гр = 8.5,LABRADOR КИСЕЛО,Да,34,,,,,Млеко и млечни производи,KAM,2025-04-18
ЦРВЕН ГРАВ СО,79,100 гр = 32.9,FIAMMA ЦРВЕН ГРАВ,Да,79,,,,,Останато,KAM,2025-04-18
ТОПЧИЊА КОМПИР,107,100 гр = 17.8,AVIKO ТОПЧИЊА,Да,107,,,,,Останато,KAM,2025-04-18
ВИСКИ БАЛАНТАЈН,899,,,Да,899,,,,,Останато,KAM,2025-04-18
МАСЛИНКА СО,139,100 гр = 27.8,SUNNY FANTASY,Да,169,,,,,Останато,KAM,2025-04-18
КОКОС 100ГР,20,100 гр = 20.0,КОКОС,Да,20,,,,,Останато,KAM,2025-04-18
СУВА СЛИВА 200ГР,75,100 гр = 37.5,VITA СУВА СЛИВА,Да,75,,,,,Останато,KAM,2025-04-18
КОЦКА СУПА,16,100 гр = 40.0,YUMIS КОЦКА ЗА,Да,16,,,,,Останато,KAM,2025-04-18
КОЦКА ЗА СУПА,16,100 гр = 40.0,YUMIS КОЦКА ЗА,Да,16,,,,,Останато,KAM,2025-04-18
КОЦКА ЗА СУПА,16,100 гр = 40.0,YUMIS КОЦКА ЗА,Да,16,,,,,Останато,KAM,2025-04-18
СУШЕН АНАНАС,59,100 гр = 59.0,SUNNY FANTASY,Да,59,,,,,Останато,KAM,2025-04-18
ДЕТСКИ ФЛИПС ЗА,12,100 гр = 40.0,OPSS ДЕТСКИ,Да,12,,,,,Останато,KAM,2025-04-18
СИРУП РИО,80,,,Да,80,,,,,Останато,KAM,2025-04-18
СИРУП РИО ЛИМОН,80,,,Да,80,,,,,Останато,KAM,2025-04-18
СИРУП РИО,80,,,Да,80,,,,,Останато,KAM,2025-04-18
ВОДА ЕВИНА,13,,,Да,13,,,,,Пијалоци,KAM,2025-04-18
ВОДА ЕВИНА,19,,,Да,19,,,,,Пијалоци,KAM,2025-04-18
ДЕТСКИ ФЛИПС ЗА,12,100 гр = 40.0,OPSS ДЕТСКИ,Да,12,,,,,Останато,KAM,2025-04-18
ВОДА ЕВИНА 1.5Л,19,,,Да,19,,,,,Пијалоци,KAM,2025-04-18
МЛЕКО СВЕЖО,68,,,Да,68,,,,,Млеко и млечни производи,KAM,2025-04-18
МЕСО ЦАРСКО,345,,,Да,345,,,,,Месо и месни производи,KAM,2025-04-18
СЛАНИНА СЕЦКАНА,325,,,Да,325,,,,,Останато,KAM,2025-04-18
ДИМЕН СВИНСКИ,399,,,Да,399,,,,,Останато,KAM,2025-04-18
САЛАТА РУСКА,109,100 гр = 21.8,VEGE САЛАТА РУСКА,Да,122,,,,,Останато,KAM,2025-04-18
КАШКАВАЛ МЕШАН,522,,,Да,522,,,,,Млеко и млечни производи,KAM,2025-04-18
САЛАТА ПИЛЕШКА,115,100 гр = 23.0,VEGE САЛАТА,Да,132,,,,,Останато,KAM,2025-04-18
СИРЕЊЕ КРАВЈО,435,,,Да,435,,,,,Млеко и млечни производи,KAM,2025-04-18
СИРЕЊЕ МЕШАНО,459,,,Да,459,,,,,Млеко и млечни производи,KAM,2025-04-18
СИРЕЊЕ КРАВЈО,422,,,Да,422,,,,,Млеко и млечни производи,KAM,2025-04-18
СИРЕЊЕ МЕШАНО,440,,,Да,440,,,,,Млеко и млечни производи,KAM,2025-04-18
ГУЛАШ СОЛИС,147,100 гр = 36.8,SOLIS ГУЛАШ,Да,147,,,,,Останато,KAM,2025-04-18
КУЛЕН КАМКО,569,,,Да,569,,,,,Останато,KAM,2025-04-18
ДЕЛИКАТЕС,139,,,Да,139,,,,,Останато,KAM,2025-04-18
СИРЕЊЕ САЛАКИС,325,100 гр = 36.1,PRESIDENT SALAKIS,Да,325,,,,,Млеко и млечни производи,KAM,2025-04-18
КАЈМАК МЕГЛЕ,142,100 гр = 71.0,MEGGLE КАЈМАК,Да,142,,,,,Останато,KAM,2025-04-18
ПАШТЕТА АРГЕТА,57,100 гр = 60.0,ARGETA ПАШТЕТА,Да,57,,,,,Останато,KAM,2025-04-18
ПАШТЕТА АРГЕТА,72,100 гр = 75.8,ARGETA ПАШТЕТА,Да,72,,,,,Останато,KAM,2025-04-18
ПАШТЕТА,12,100 гр = 24.0,PEKABESKO,Да,12,,,,,Останато,KAM,2025-04-18
ПАШТЕТА ЈЕТРЕНА,14,100 гр = 28.0,PEKABESKO,Да,14,,,,,Останато,KAM,2025-04-18
ПАШТЕТА ЛОВЕЧКА,17,100 гр = 22.7,PEKABESKO,Да,17,,,,,Останато,KAM,2025-04-18
ПИЛЕШКО ГОЛД,312,,,Да,312,,,,,Останато,KAM,2025-04-18
КОЛБАС,131,100 гр = 29.1,LECKER КОЛБАС,Да,131,,,,,Месо и месни производи,KAM,2025-04-18
СУЏУК САРАЈ 500ГР,82,100 гр = 16.4,UKA СУЏУК САРАЈ,Да,82,,,,,Останато,KAM,2025-04-18
ПАВЛАКА КИСЕЛА,109,100 гр = 15.6,MLEKARA HOMOLJE,Да,109,,,,,Млеко и млечни производи,KAM,2025-04-18
"МЛЕКО 3,2%",56,,,Да,56,,,,,Млеко и млечни производи,KAM,2025-04-18
МЛЕКО 1.5%,54,,,Да,54,,,,,Млеко и млечни производи,KAM,2025-04-18
ПАВЛАКА ЗА,149,,,Да,149,,,,,Млеко и млечни производи,KAM,2025-04-18
ВИНО,299,,,Да,299,,,,,Останато,KAM,2025-04-18
КОЛБАС КРАЊСКИ,68,100 гр = 29.6,SOLIS КОЛБАС,Да,68,,,,,Месо и месни производи,KAM,2025-04-18
ВИНО,299,,,Да,299,,,,,Останато,KAM,2025-04-18
САПУН ТЕЧЕН ЛЛ,48,,,Да,48,,,,,Производи за домаќинство,KAM,2025-04-18
ЛЕПАК ТЕЧЕН УФО,22,,,Да,22,,,,,Останато,KAM,2025-04-18
ВИНО,506,,,Да,506,,,,,Останато,KAM,2025-04-18
ВИНО,506,,,Да,506,,,,,Останато,KAM,2025-04-18
КРЕМА,189,,,Да,189,,,,,Слатки и бонбони,KAM,2025-04-18
НОЖИЊА ЛАЛИН,42,,,Да,42,,,,,Останато,KAM,2025-04-18
НОЖИЊА ЛАЛИН,75,,,Да,75,,,,,Останато,KAM,2025-04-18
КРЕМА ПРОДЕРМ,179,,,Да,179,,,,,Слатки и бонбони,KAM,2025-04-18
МАРАМА ШАЛ,109,,,Да,109,,,,,Останато,KAM,2025-04-18
ДЕКОРАЦИИ ЈАЈЦА,85,,,Да,85,,,,,Останато,KAM,2025-04-18
ВЕЛИГДЕНСКА,99,,,Да,99,,,,,Останато,KAM,2025-04-18
ДЕТ.КОМПАК ЕХО,275,,,Да,275,,,,,Останато,KAM,2025-04-18
ДЕТЕРГЕНТ ЕХО,275,,,Да,275,,,,,Производи за домаќинство,KAM,2025-04-18
РЕФ.ТЕЧЕН САПУН,58,,,Да,58,,,,,Производи за домаќинство,KAM,2025-04-18
ДЕТЕРГЕНТ,439,,,Да,439,,,,,Производи за домаќинство,KAM,2025-04-18
СРЕДСТВО ЗА,139,,,Да,139,,,,,Производи за домаќинство,KAM,2025-04-18
КИЛОТИ ЖЕНСКИ,199,,,Да,199,,,,,Останато,KAM,2025-04-18
ЧОРАПИ ЖЕНСКИ,32,,,Да,32,,,,,Останато,KAM,2025-04-18
СОКНИ ЖЕНСКИ,25,,,Да,25,,,,,Пијалоци,KAM,2025-04-18
СОКНИ МАШКИ,25,,,Да,25,,,,,Пијалоци,KAM,2025-04-18
ФОЛИЈА,109,,,Да,109,,,,,Останато,KAM,2025-04-18
ОДСТРАНУВАЧ НА,39,,,Да,39,,,,,Останато,KAM,2025-04-18
СУНЃЕР ЗА САДОВИ,49,,,Да,49,,,,,Останато,KAM,2025-04-18
ВЛАЖНИ,64,,,Да,64,,,,,Останато,KAM,2025-04-18
ДЕО СПРЕЈ ДОВЕ,145,,,Да,145,,,,,Останато,KAM,2025-04-18
МАРАМИЦИ,39,,,Да,39,,,,,Останато,KAM,2025-04-18
ПАСТА ЗА ЗАБИ,83,,,Да,83,,,,,Останато,KAM,2025-04-18
ШАМПОН ШАУМА,138,,,Да,138,,,,,Производи за домаќинство,KAM,2025-04-18
ШАМПОН ШАУМА,138,,,Да,138,,,,,Производи за домаќинство,KAM,2025-04-18
ЗАПАЛКА,9,,,Да,9,,,,,Останато,KAM,2025-04-18
ЗАПАЛКА КРИКЕТ,27,,,Да,27,,,,,Останато,KAM,2025-04-18
КАНДИЛО СО,52,,,Да,52,,,,,Останато,KAM,2025-04-18
КОРПА МАЛА ЧОЈА,99,,,Да,99,,,,,Останато,KAM,2025-04-18
ЗАЛЧИЊА ЗА КУЧЕ,52,100 гр = 26.0,APOLLO ЗАЛЧИЊА,Да,52,,,,,Останато,KAM,2025-04-18
СТАПЧИЊА ЗА,59,100 гр = 49.2,APOLLO СТАПЧИЊА,Да,59,,,,,Останато,KAM,2025-04-18
СОС ПЕСТО,99,100 гр = 55.0,FIAMMA СОС ПЕСТО,Да,99,,,,,Останато,KAM,2025-04-18
ЧОКО.ГАЈА ЈУНИОР,62,100 гр = 62.0,GAJA-JUNIOR,Да,62,,,,,Останато,KAM,2025-04-18
МАСКА ПЕРДУВИ ЗА,59,,,Да,59,,,,,Останато,KAM,2025-04-18
МАСКА,35,,,Да,35,,,,,Останато,KAM,2025-04-18
МАСКА ПЛАСТИЧНА,39,,,Да,39,,,,,Останато,KAM,2025-04-18
ЧАЈ КАМИЛИЦА,23,,,Да,23,,,,,Пијалоци,KAM,2025-04-18
ЧАЈ НАНЕ 20/1,23,,,Да,23,,,,,Пијалоци,KAM,2025-04-18
ЧАЈ ХИБИСКУС 20/1,30,,,Да,30,,,,,Пијалоци,KAM,2025-04-18
ДОКОЛЕНКИ,42,,,Да,42,,,,,Останато,KAM,2025-04-18
ЧАЈ БРУСНИЦА,40,,,Да,40,,,,,Пијалоци,KAM,2025-04-18
ЧАЈ ШУМСКО,45,,,Да,45,,,,,Пијалоци,KAM,2025-04-18
ЧАЈ АРОНИЈА И,45,,,Да,45,,,,,Пијалоци,KAM,2025-04-18
ЧАЈ ПЛАНИНСКИ,34,,,Да,34,,,,,Пијалоци,KAM,2025-04-18
СВЕЌИ МИРИЗЛИВИ,95,,,Да,95,,,,,Останато,KAM,2025-04-18
САЛЕП КРИСТАЛ,72,100 гр = 36.0,KRISTAL ТОПОЛ,Да,72,,,,,Останато,KAM,2025-04-18
ПИЖАМИ ЖЕНСКИ,479,,,Да,479,,,,,Останато,KAM,2025-04-18
МАНЧМАЛОУ 210ГР,87,100 гр = 41.4,MUNCHMALLOW,Да,87,,,,,Останато,KAM,2025-04-18
ЧОКОЛ.ОРЕО,75,100 гр = 75.0,MILKA OREO,Да,75,,,,,Слатки и бонбони,KAM,2025-04-18
МАЈОНЕЗ ЛЕБОН,114,,,Да,114,,,,,Хлеб и пекарски производи,KAM,2025-04-18
МАЈОНЕЗ ПОСЕН,93,,,Да,93,,,,,Останато,KAM,2025-04-18
ХАНЗАПЛАСТ 10/1,7,,,Да,7,,,,,Останато,KAM,2025-04-18
ТАРТАР ПРЕЛИВ,33,100 гр = 41.3,THOMY ТАРТАР,Да,33,,,,,Останато,KAM,2025-04-18
ЧИЛИ ПРЕЛИВ,33,100 гр = 41.3,THOMY ЧИЛИ,Да,33,,,,,Останато,KAM,2025-04-18
ЛАЖИЦИ,12,,,Да,12,,,,,Останато,KAM,2025-04-18
ВИЛУШКИ,12,,,Да,12,,,,,Останато,KAM,2025-04-18
КАФЕ 3/1 ИНСТАНТ,143,,,Да,143,,,,,Пијалоци,KAM,2025-04-18
СТИКЕРИ ЗА ВГ,10,,,Да,10,,,,,Останато,KAM,2025-04-18
БАНДЕРОЛИ ЗА ВГ,9,,,Да,9,,,,,Останато,KAM,2025-04-18
КЕСА УКРАСНА ЗА,15,,,Да,15,,,,,Останато,KAM,2025-04-18
КЕСА УКРАСНА,15,,,Да,15,,,,,Останато,KAM,2025-04-18
КЕСА УКРАСНА,17,,,Да,17,,,,,Останато,KAM,2025-04-18
ТОРБА ЗА ПЛАЖА,589,,,Да,589,,,,,Останато,KAM,2025-04-18
МАИЦА ЖЕНСКА,319,,,Да,319,,,,,Останато,KAM,2025-04-18
МАИЦА МАШКА,319,,,Да,319,,,,,Останато,KAM,2025-04-18
"МАИЦА МАШКА Т ,",219,,,Да,219,,,,,Останато,KAM,2025-04-18
ТРЕНЕРКИ ДЕТСКИ,289,,,Да,289,,,,,Останато,KAM,2025-04-18
РАНЕЦ ДЕТСКИ,612,,,Да,612,,,,,Останато,KAM,2025-04-18
СТИК РЕКСОНА ЗА,169,,,Да,169,,,,,Останато,KAM,2025-04-18
ПАСТА ЗА ЗАБИ,89,,,Да,89,,,,,Останато,KAM,2025-04-18
ФОЛИЈА ЗА СВЕЖО,42,,,Да,42,,,,,Останато,KAM,2025-04-18
ХАРТИЈА ЗА,45,,,Да,45,,,,,Останато,KAM,2025-04-18
МАСЛО КРИСТАЛ,88,,,Да,88,,,,,Останато,KAM,2025-04-18
ЧОРАПИ МАШКИ,29,,,Да,29,,,,,Останато,KAM,2025-04-18
ЧОРАПИ ЖЕНСКИ,29,,,Да,29,,,,,Останато,KAM,2025-04-18
ПЕЛЕРИНА РОЗЕ,819,,,Да,819,,,,,Останато,KAM,2025-04-18
КАПА ЗИМСКА,179,,,Да,179,,,,,Останато,KAM,2025-04-18
МАЈОНЕЗ КЕСА,27,100 гр = 33.8,THOMY МАЈОНЕЗ,Да,27,,,,,Останато,KAM,2025-04-18
КАФЕ,419,100 гр = 209.5,NESCAFE КАФЕ,Да,419,,,,,Пијалоци,KAM,2025-04-18
ПОТПАНТАЛОНИ,159,,,Да,159,,,,,Останато,KAM,2025-04-18
ПОТПАНТАЛОНИ,159,,,Да,159,,,,,Останато,KAM,2025-04-18
БАТЕРИЈА ВАРТА,129,,,Да,129,,,,,Останато,KAM,2025-04-18
БАТЕРИЈА ВАРТА,129,,,Да,129,,,,,Останато,KAM,2025-04-18
КРЕМ ЗА КАФЕ И,40,100 гр = 20.0,FIESTA КРЕМ ЗА,Да,40,,,,,Слатки и бонбони,KAM,2025-04-18
ПЕГЛА ЗА КОСА 2.,299,,,Да,,,,,,Останато,KAM,2025-04-18
ТАЦНА ЗА САПУН,99,,,Да,99,,,,,Производи за домаќинство,KAM,2025-04-18
ПЕЧУРКИ СЕЦКАНИ,30,100 гр = 30.0,KAMKO ПЕЧУРКИ,Да,30,,,,,Останато,KAM,2025-04-18
ФАРСИТУРА,75,100 гр = 15.0,OMA КАРАМЕЛА,Да,75,,,,,Останато,KAM,2025-04-18
